Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
HR Manager,Energy,Small,Paris,Low,Medium,UX/UI Design,112822.6546,Yes,Decline
Product Manager,Education,Small,Tokyo,High,High,Python,122682.6999,Yes,Decline
Cybersecurity Analyst,Telecommunications,Medium,San Francisco,High,Low,Data Analysis,47132.65352,Yes,Growth
Product Manager,Transportation,Large,Berlin,Low,High,Sales,86341.96686,No,Stable
Product Manager,Energy,Large,San Francisco,High,Medium,Machine Learning,50697.98851,No,Decline
Product Manager,Healthcare,Large,San Francisco,High,High,Marketing,41298.7262,No,Decline
HR Manager,Telecommunications,Large,Berlin,Low,Medium,Project Management,92881.86095,No,Growth
Product Manager,Energy,Small,Sydney,High,High,Project Management,82016.96414,No,Growth
AI Researcher,Finance,Medium,Toronto,Low,Medium,Communication,95997.01904,No,Growth
Software Engineer,Transportation,Large,Paris,Low,High,Data Analysis,99722.5538,Yes,Decline
Sales Manager,Finance,Small,London,Medium,High,Project Management,114957.9192,No,Decline
Data Scientist,Transportation,Large,London,Medium,High,Communication,91078.40851,No,Growth
Data Scientist,Healthcare,Medium,Paris,High,Low,Python,148467.1123,Yes,Stable
Sales Manager,Telecommunications,Small,Sydney,High,High,Machine Learning,96128.1971,No,Growth
HR Manager,Education,Medium,London,Low,Low,Machine Learning,126849.5809,No,Growth
Marketing Specialist,Finance,Medium,San Francisco,High,Medium,Marketing,43343.24399,Yes,Growth
HR Manager,Finance,Small,Dubai,Low,High,JavaScript,116994.7906,Yes,Growth
Data Scientist,Entertainment,Small,Tokyo,Low,Medium,Project Management,86384.7902,Yes,Decline
Data Scientist,Transportation,Small,New York,High,Medium,Python,51033.05481,No,Stable
Sales Manager,Manufacturing,Small,London,Low,High,Cybersecurity,98410.90218,Yes,Growth
Product Manager,Telecommunications,Small,Paris,Medium,Low,Project Management,83940.88924,No,Stable
HR Manager,Transportation,Small,Dubai,High,High,Data Analysis,101601.065,No,Stable
Operations Manager,Entertainment,Small,Berlin,Medium,Medium,JavaScript,110221.5292,No,Stable
Sales Manager,Technology,Large,Toronto,High,Medium,Project Management,60216.99766,No,Growth
AI Researcher,Transportation,Medium,Paris,Low,High,Python,110298.3796,Yes,Decline
Data Scientist,Education,Small,San Francisco,High,Low,Project Management,90129.58968,Yes,Growth
Sales Manager,Telecommunications,Large,Toronto,Medium,Low,Data Analysis,117056.8235,No,Stable
HR Manager,Entertainment,Large,Tokyo,Low,Medium,Cybersecurity,85897.03542,Yes,Stable
Data Scientist,Technology,Large,Tokyo,High,Medium,Sales,80591.82215,No,Decline
